institute_name,hostel_available,boys_hostel,girls_hostel,official_website
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",Yes,Yes,Yes,https://www.adit.ac.in
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",Yes,Yes,Yes,https://www.adaniuni.ac.in
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD",Yes,Yes,Yes,https://silveroakuni.ac.in
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",Yes,Yes,Yes,https://aitindia.in
"AHMEDABAD UNIVERSITY",Yes,Yes,Yes,https://ahduni.edu.in
"ALPHA COLLEGE OF ENGG. & TECH., KHATRAJ, KALOL",Yes,Yes,Yes,https://alpha-cet.in
"AMRUT INSTITUTE, Junagadh",Yes,Yes,Yes,https://www.aij.ind.in/
"AMT I.Sc.Tech, Bardoli",No,No,No,https://utu.ac.in
"ANANT SCHOOL FOR CLIMATE ACTION, AHMEDABAD",No,No,No,https://anu.edu.in
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD",Yes,Yes,Yes,http://www.aiet.edu.in/
"ARRDEKTA INST. OF TECHNOLOGY, KHEDBRAHMA, SABARKANTHA",Yes,Yes,Yes,https://www.arrdekta.org/
"ARUN MUNCHHALA ENGINEERING COLLEGE, AMRELI",Yes,Yes,Yes,https://arunmuchhalaengg.com/
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI",Yes,Yes,Yes,https://utu.ac.in/AMTICS/
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND TECHNOLOGY, RAJKOT",Yes,Yes,Yes,https://atmiyauni.ac.in/
"B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT",Yes,Yes,Yes,https://www.bhgardi.edu.in
"BALAJI, Makhiyala",No,No,No,http://www.becj.in
