institute_name,hostel_available,official_website
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",Yes,
"A.D.Patel Institute Of Tech., Karamsad",Yes,
"A.D.Patel Institute Of Tech.,Karamsad",Yes,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",Yes,
"ADIT, Karamsad",No,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,Yes,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",Yes,
"AHMEDABAD UNIVERSITY, AHMEDABAD",Yes,
"AIT, Ahmedabad",No,https://aitindia.in
"ALPHA, Kalol",No,
"AMRUT INSTITUTE, JUNAGADH",Yes,
"AMT I.Sc.Tech, Bardoli",No,
"ANANT SCHOOL FOR CLIMATE ACTION, AHMEDABAD",No,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,Yes,
"ARRDEKTA INST. OF TECHNOLOGY, KHEDBRAHMA, SABARKANTHA",Yes,
"ARUN MUNCHHALA ENGINEERING COLLEGE, AMRELI",Yes,
ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,Yes,
"ASIA School of Engineering, Ahmedabad",Yes,
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND TECHNOLOGY, RAJKOT",Yes,https://atmiyauniversity.ac.in
"ATMIYA, Rajkot",No,
"Adani Institute Of Infrastructure Engineering, Ahmedabad",Yes,https://adaniuni.ac.in
"Adani, Ahmedabad",No,https://adaniuni.ac.in
"Aditya Silver Oak Institute Of Technology (Within Limits Of Ahmedabad Municipal Corporation), Ahmedab",Yes,
"Aditya, Ahmedabad",No,https://silveroakuni.ac.in
"Agrawal, Navsari",No,
"Ahmedabad Institute Of Tech, Ahmedabad",Yes,https://aitindia.in
"Alpha College Of Engg. & Tech., Khatraj, Kalol",Yes,
"Anant School for Climate Action, Ahmedabad",No,
"Apollo Institute Of Engineering & Technology, Ahmedabad",Yes,
"ApolloET, Ahmedabad",No,
"Arrdekta Inst. Of Technology, Khedbrahma, Sabarkantha",Yes,
"Arrdekta, Khedbrahm",No,
Asha M. Tarsadia Institute of Computer Science & Tech. Bardoli,Yes,
"Asha M. Tarsadia Institute of Computer Science & Tech., Bardoli",Yes,
"Atmiya University, Faculty of Engineering and Technology, Rajkot",Yes,
"B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT",Yes,https://www.bhgardi.edu.in
"B.H.Gardi College Of Engg. & Technology , Rajkot",Yes,https://www.bhgardi.edu.in
"BAIT, Surat",No,
"BALAJI, Makhiyala",No,
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",Yes,
"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT",Yes,
"BHGARDI, Rajkot",No,
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",No,
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",No,
"BMCET, Surat",No,
"BVM (GIA), VVNagar",No,https://bvmengineering.ac.in
"BVM (SFI), VVNagar",No,https://bvmengineering.ac.in
"Bhagwan Arihant Institute of Tech., Surat",Yes,
"Bhagwan Mahavir College Of Engg. And Tech., Surat",Yes,
"Birla Vishvakarma Maha Vidhyalaya (GIA), V.V.Nagar",No,
"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",No,
"Birla Vishvakarma Maha Vidhylaya(Sfi), V.V.Nagar",No,
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT",Yes,
"C. K. Pithawala College Of Engg. & Tech., Surat",Yes,https://ckpcet.ac.in
"C.U.SHAH COLLEGE OF ENGG.& TECH.,WADHVAN",Yes,
"C.U.Shah College Of Engg.& Tech.,Wadhvan",Yes,
CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY,Yes,
"CGPIT, Tarsadi",No,https://www.charusat.ac.in
"CHAROTAR UNIVERSITY OF SCIENCE & TECHNOLOGY (CHARUSAT) - CHANDUBHAI S PATEL INSTITUTE OF TECHNOLOGY (CSPIT), CH",Yes,
CHAROTAR UNIVERSITY OF SCIENCE & TECHNOLOGY (CHARUSAT) - DEVANG PATEL INSTITUTE OF ADVANCE TECHNOLOGY AND RES,Yes,
"CHHOTUBHAI GOPALBHAI PATEL INSTITUTE OF TECH., TARSADI, BARDOLI",Yes,
"CIPET, Ahmedabad",No,
"CKPCET, Surat",No,https://ckpcet.ac.in
"CPIT, Changa",No,https://www.charusat.ac.in
"CUSHAH, Wadhvan",No,
Central Institute of Petrochemicals Engineering & Technology,Yes,
"Charotar University Of Science & Technology (Charusat) - Chandubhai S Patel Institute Of Technology (CSPIT), Changa",Yes,
"Charotar University of Science & Technology (CHARUSAT) - Chandubhai S Patel Institute Of Technology (CSPIT), Changa",Yes,https://www.charusat.ac.in
Charotar University of Science & Technology (CHARUSAT) - Devang Patel Institute of Advance Technology And Research,Yes,
"Charotar University of Science & Technology (CHARUSAT) - Devang Patel Institute of Advance Technology And Research (DEPSTAR), Changa",Yes,https://www.charusat.ac.in
"Charusat (DEPSTAR), Changa",No,
"Charusat(CSPIT), Changa",No,
"Chhotubhai Gopalbhai Patel Institute Of Tech., Tarsadi, Bardoli",Yes,
"D. A. DEGREE ENGINEERING AND TECHNOLOGY, MAHEMDABAD, KHEDA",Yes,
"D. A. Degree Engineering and Technology, Mahemdabad, Kheda",Yes,
"DADET, Khatraj",No,
"DALIA INSTITUTE OF TECHNOLOGY, KANERA",Yes,
"DARSHAN INSTITUTE OF ENGG. & TECH., RAJKOT-MORBI HIGHWAY, HADALA",Yes,
"DDU (GIA), Nadiad",No,https://www.ddu.ac.in
"DDU (SFI), Nadiad",No,https://www.ddu.ac.in
"DHIRUBHAI AMBANI INSTITUTE OF INFO. & COMM. TECH., GANDHINAGAR",Yes,
"DPIATR, Changa",No,https://www.charusat.ac.in
"DR. JIVRAJ MEHTA INSTITUTE OF TECHNOLOGY, ANAND",Yes,
DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE SURAT,Yes,
DR. S & S.S.Ghandhi Government Engineering College Surat,Yes,
"DR. S & S.S.Ghandhi Government Engineering College, Surat",Yes,
"DR. SUBHASH UNIVERSITY, SCHOOL OF ENGINEERING & TECHNOLOGY, JUNAGADH",Yes,
"DR. V.R. GODHANIA COLLEGE OF ENGG. & TECH., PORBANDAR",Yes,
"Darshan Institute Of Engg. & Tech., Rajkot-Morbi Highway, Hadala",Yes,https://darshan.ac.in
"Darshan, Rajkot",No,https://darshan.ac.in
"Dhanvantary, KIM",No,
"Dhirubhai Ambani Institute of Info. & Comm. Tech., Gandhinagar",Yes,
"Dr. Jivraj Mehta Institute Of Technology, Anand",Yes,
"Dr. Subhahsh Technical Campus, Junagadh",No,
"Dr. Subhash University, School of Engineering & Technology, Junagadh",Yes,
"Dr. V.R. Godhania College of Engg. & Tech., Porbandar",Yes,
"EC, Tuwa",No,
"ENGGINERING COLLEGE, TUWA, GODHARA",Yes,
"Engginering College, Tuwa, Godhara",Yes,
"Engineering-Gujarati Gyanmanjari Institute Of Technology, Bhavnagar",Yes,
"FACULTY OF ENGINEERING & TECHNOLOGY- GLS UNIVERSITY, AHMEDABAD",Yes,
"FACULTY OF ENGINEERING & TECHNOLOGY- SIGMA UNIVERSITY, BAKROL, VADODARA",Yes,
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU) (SFI), VADODARA",Yes,
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",Yes,
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH DESAI UNIVERSITY, (DDU), NADIAD",Yes,
"FACULTY OF TECHNOLOGY(SFI), DHARMSINH DESAI UNIVERSITY, NADIAD",Yes,
"FACULTY OF TECHNOLOGY, CEPT UNIVERSITY, AHMEDABAD",Yes,
"FOET-GLS, Ahmedabad",No,
"Faculty Of Technology & Engineering (MSU), Vadodara",Yes,
"Faculty Of Technology & Engineering(MSU), Vadodara",Yes,
"Faculty Of Technology (SFI), Dharmsinh Desai University, Nadiad",Yes,
"Faculty Of Technology And Engineering (GIA), Dharmsinh Desai University, (DDU), Nadiad",Yes,
"Faculty Of Technology And Engineering(GIA), Dharmsinh Desai University, (DDU), Nadiad",Yes,
"Faculty Of Technology(Sfi), Dharmsinh Desai University, Nadiad",Yes,
"Faculty of Engineering & Technology- GLS University, Ahmedabad",Yes,https://www.glsuniversity.ac.in
"Faculty of Engineering & Technology- Sigma University, Bakrol, Vadodara",Yes,https://sigmauniversity.ac.in
"Faculty of Technology, CEPT University, Ahmedabad",Yes,https://cept.ac.in
"G.H.PATEL COLLEGE OF ENGG. & TECH. , V. V. NAGAR",Yes,https://gcet.ac.in
"G.H.Patel College Of Engg. & Tech. , V. V. Nagar",Yes,https://gcet.ac.in
"GANDHINAGAR INSTITUTE OF TECHNOLOGY, MOTI BHOYAN, KALOL, GANDHINAGAR",Yes,
"GANPAT UNIVERSITY, INSTITUTE OF COMPUTER TECH., KHERVA, MEHSANA",Yes,
"GANPAT UNIVERSITY, U.V.PATEL COLLEGE OF ENGINEERING, KHERVA, MEHSANA",Yes,
"GCET, VVNagar",No,
"GEC, Bharuch",No,https://gecbh.ac.in
"GEC, Bhavnagar",No,https://gecbhavnagar.ac.in
"GEC, Bhuj",No,https://gecbhuj.ac.in
"GEC, Dahod",No,https://gecdahod.ac.in
"GEC, Gandhinagar",No,https://gecgandhinagar.ac.in
"GEC, Godhra",No,https://gecgodhra.ac.in
"GEC, Modasa",No,https://gecmodasa.ac.in
"GEC, Palanpur",No,https://gecpalanpur.ac.in
"GEC, Patan",No,https://gecpatan.ac.in
"GEC, Rajkot",No,https://gecrajkot.ac.in
"GEC, Surat",No,https://gecsurat.gujarat.gov.in
"GEC, Valsad",No,https://gecvalsad.ac.in
"GIDC DEGREE ENGINEERING COLLEGE, ABRAMA, NAVSARI",Yes,
"GIDC Degree Engineering College, Abrama, Navsari",Yes,
"GIDC Degree Engineering College, Abrama, Navsari (PPP)",Yes,
"GIDCDEC, Navsari",No,
"GIT, Gandhinagar",No,https://git.org.in
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",Yes,
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",Yes,
"GOVERNMENT ENGINEERING COLLEGE, BHUJ",Yes,
"GOVERNMENT ENGINEERING COLLEGE, DAHOD",Yes,
"GOVERNMENT ENGINEERING COLLEGE, GODHRA",Yes,
"GOVERNMENT ENGINEERING COLLEGE, MODASA",Yes,
"GOVERNMENT ENGINEERING COLLEGE, PALANPUR",Yes,
"GOVERNMENT ENGINEERING COLLEGE, PATAN",Yes,
"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",Yes,
"GOVERNMENT ENGINEERING COLLEGE, VALSAD",Yes,
"GPERI, Mevad",No,
"GROW MORE FACULTY OF ENGINEERING, BERNA, HIMMATNAGAR",Yes,
"GSFCU, Vadodara",No,
"GTU-SOEAT, Ahmedabad",No,
"GUJARAT POWER ENGG. AND RES. INST. (GPERI) (PPP), MEVAD, MEHSANA",No,
"GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL OF ENGINEERING AND TECHNOLOGY, CHANDKHEDA, AHMEDABAD",Yes,
GYANMANJARI INSTITUTE OF TECHNOLOGY BHAVNAGAR,Yes,
GYANMANJARI INSTITUTE OF TECHNOLOGY Bhavnagar,Yes,
"Gandhinagar Institute Of Technology, Moti Bhoyan, Kalol, Gandhinagar",Yes,
"Ganpat Uni. ICT, Mehsana",No,https://ganpatuniversity.ac.in
"Ganpat Uni. UVPCE, Mehsana",No,https://ganpatuniversity.ac.in
"Ganpat University, Institute of Computer Tech., Kherva, Mehsana",Yes,
"Ganpat University, U.V.Patel College of Engineering, Kherva, Mehsana",Yes,
"Government Engineering College, Bharuch",Yes,
"Government Engineering College, Bhavnagar",Yes,
"Government Engineering College, Bhuj",Yes,
"Government Engineering College, Dahod",Yes,
"Government Engineering College, Godhra",Yes,
"Government Engineering College, Modasa",Yes,
"Government Engineering College, Palanpur",Yes,
"Government Engineering College, Patan",Yes,
"Government Engineering College, Rajkot",Yes,
"Government Engineering College, Valsad",Yes,
"Graduate School of Engineering and Technology, GTU, Ahmedabad",Yes,
"Grow More Faculty of Engineering, Berna, Himmatnagar",Yes,
"GrowMore, Berna",No,
"Gujarat Power Engg. And Res. Inst. (GPERI) , Mevad, Mehsana",No,
"Gujarat Power Engg. And Res. Inst. (Gperi) (Ppp), Mevad, Mehsana",No,
"Gyanmanjari, Bhavnagar",No,
"HANSABA COLLEGE OF ENGIEERING AND TECHNOLOGY, SIDDHPUR",Yes,
"HASMUKH GOSWAMI COLLEGE OF ENGG, VAHELAL",Yes,
HGCE-Ahmedabad,No,
"HJD INSTITUTE OF TECHNICAL EDUCATION AND RESERCH, KERA",Yes,
"HJD, Kera",No,
"Hansaba College Of Engieering And Technology, Siddhpur",Yes,
"Hansaba, Patan",No,
"Hasmukh Goswami College Of Engg, Vahelal",Yes,
"IAR, Gandhinagar",No,https://iar.ac.in
"IIET, Dharmaj",No,
"INDUS INSTITUTE OF TECH. & ENGG., RACHARDA, AHMEDABAD",Yes,
"INSTITUTE OF ADVANCED RESEARCH, GANDHINAGAR",Yes,
"INSTITUTE OF INFRASTRUCTURE,TECHNOLOGY,RESEARCH AND MANAGEMENT(IITRAM),AHMEDABAD",Yes,
"INSTITUTE OF TECHNOLOGY, NIRMA UNIVERSITY OF SCIENCE & TECHNOLOGY, AHMEDABAD",Yes,
